,Country,Sub-national region,latitude,longitude,MPI_Region,PercPoverty,popDensity,precipitation,TimeToCity,Temperature
664,Mozambique,Tete,-16.1328104,33.6063855,0.466,80.5,397.541656494141,610.5,4.0,36.0
665,Mozambique,Zamb�zia,-16.5638987,36.6093926,0.528,88.1,11.1166667938232,1271.5,297.0,28.0
666,Myanmar,Ayeyarwaddy,17.0342125,95.2266675,0.171,39.0,171.596664428711,1861.0,109.0,32.0
667,Myanmar,Bago,17.3220711,96.4663286,0.129,30.6,157.213333129883,2708.0,3.0,31.0
668,Myanmar,Chin,22.3896751,93.5812692,0.152,33.8,12.2416667938232,1567.5,376.0,20.0
669,Myanmar,Kachin,25.850904,97.4381355,0.083,19.0,34.3333320617676,1843.5,258.0,22.0
670,Myanmar,Kayah,19.2342061,97.2652858,0.099,23.0,13.906665802002,944.5,353.0,26.0
671,Myanmar,Kayin,16.9459346,97.9592863,0.183,36.9,35.5,2142.0,379.0,29.0
672,Myanmar,Magway,20.1544305,94.9454803,0.114,27.4,188.169998168945,708.5,3.0,32.0
673,Myanmar,Mandalay,21.9588282,96.0891032,0.099,24.1,4089.74658203125,806.0,5.0,33.0
674,Myanmar,Mon,17.0626039,97.3516558,0.109,24.8,219.33332824707,2900.5,99.0,28.0
675,Myanmar,Naypyitaw,19.7633057,96.0785104,0.11,26.1,144.773330688477,865.0,265.0,31.0
676,Myanmar,Rakhine,19.810093,93.9878427,0.258,51.3,15.1666669845581,2628.5,151.0,28.0
677,Myanmar,Sagaing,21.9159702,95.9621106,0.134,31.6,266.119995117188,807.5,9.0,29.0
678,Myanmar,Shan,22.0361985,98.1338558,0.194,39.5,26.2083339691162,1182.5,147.0,26.0
679,Myanmar,Taninthayi,12.4706876,99.0128926,0.129,28.9,6.83333349227905,1943.5,334.0,25.0
680,Myanmar,Yangon,16.8660694,96.195132,0.051,12.5,9652.1162109375,2111.0,16.0,33.0
681,Namibia,Caprivi,-17.8682455,23.5728501,0.174,40.0,1.90833330154419,734.5,570.0,32.0
682,Namibia,Erongo,-22.2565682,15.4068079,0.044,11.2,0.5,144.5,622.0,35.0
683,Namibia,Hardap,-24.2310134,17.668887,0.103,24.2,1.48833334445953,274.0,365.0,33.0
684,Namibia,Karas,-26.8429645,17.2902839,0.098,22.5,0.0,143.5,571.0,37.0
685,Namibia,Kavango,-18.271048,18.4276047,0.373,74.3,2.16666674613953,648.0,1042.0,31.0
686,Namibia,Khomas,-22.6377854,17.1011931,0.06,15.7,89.7083358764649,445.5,11.0,28.0
687,Namibia,Kunene,-19.4086317,13.914399,0.238,48.7,0.0,234.0,884.0,34.0
688,Namibia,Ohangwena,-17.5979291,16.8178377,0.348,70.9,7.83333349227905,654.0,1127.0,32.0
689,Namibia,Omaheke,-21.8466651,19.1880047,0.232,46.8,0.0,514.0,371.0,28.0
690,Namibia,Omusati,-18.4070294,14.8454619,0.283,62.9,1.33333337306976,418.5,1554.0,34.0
691,Namibia,Oshana,-18.4305064,15.6881788,0.156,39.3,0.0,453.5,1086.0,35.0
692,Namibia,Oshikoto,-18.4152575,16.912251,0.218,47.9,1.5,514.5,691.0,31.0
693,Namibia,Otjozondjupa,-20.5486916,17.668887,0.116,24.7,1.0,473.5,385.0,30.0
694,Nepal,Province 1,42.7794896,11.1041558,0.131,30.0,148.83332824707,513.0,0.0,25.0
695,Nepal,Province 2,42.7795515,11.1046452,0.274,57.3,148.83332824707,513.0,0.0,25.0
696,Nepal,Province 3,14.3258124,120.9792599,0.266,59.3,6093.13671875,1617.5,2.0,32.0
697,Nepal,Province 4,28.2052851,83.9725225,0.106,23.9,234.026672363281,2130.0,3.0,25.0
698,Nepal,Province 5,41.8229823,12.4604051,0.094,22.5,1702.33337402344,582.0,8.0,24.0
699,Nepal,Province 6,28.6005894,81.6197149,0.171,38.9,121.0,1225.5,495.0,27.0
700,Nepal,Province 7,28.8706182,-13.8387818,0.196,46.2,22.5,96.5,394.0,29.0
701,Nicaragua,Boaco,12.469284,-85.6614682,0.13,29.1,64.1366653442383,1095.0,71.0,29.0
702,Nicaragua,Carazo,11.7274729,-86.2158497,0.025,6.5,164.818328857422,1226.5,67.0,29.0
703,Nicaragua,Chinandega,12.6234721,-87.1273253,0.047,11.9,188.70832824707,1822.5,2.0,35.0
704,Nicaragua,Chontales,11.9394717,-85.1894045,0.082,18.5,16.3333339691162,1302.0,156.0,30.0
705,Nicaragua,Esteli,13.0851139,-86.3630197,0.048,12.0,160.5,968.5,3.0,31.0
706,Nicaragua,Granada,11.9344073,-85.9560005,0.035,8.7,266.936676025391,1217.0,0.0,33.0
707,Nicaragua,Jinotega,13.0883907,-85.9993997,0.195,40.6,108.833335876465,1273.0,28.0,27.0
708,Nicaragua,Leon,12.4315534,-86.8722146,0.031,7.2,217.66667175293,1435.0,3.0,34.0
709,Nicaragua,Madriz,13.4726005,-86.4592091,0.104,23.5,135.220001220703,816.5,74.0,29.0
710,Nicaragua,Managua,12.1149926,-86.2361744,0.021,4.9,2087.10009765625,1012.0,9.0,35.0
711,Nicaragua,Masaya,11.9704485,-86.0886366,0.017,4.3,708.95166015625,1202.0,4.0,30.0
712,Nicaragua,Matagalpa,12.9290069,-85.9151211,0.099,22.3,195.33332824707,1155.5,3.0,29.0
713,Nicaragua,Nueva Segovia,13.7894404,-86.0121573,0.113,25.4,38.5616683959961,1195.5,128.0,24.0
714,Nicaragua,RAAN,13.8394456,-83.9320806,0.173,35.7,0.5,2401.0,627.0,25.0
715,Nicaragua,RAAS,12.1918502,-84.1012861,0.132,28.1,13.5,3334.0,427.0,27.0
716,Nicaragua,Rio San Juan,10.911057,-84.3172642,0.133,28.9,23.8616676330566,2807.0,609.0,24.0
717,Nicaragua,Rivas,11.4326663,-85.8230251,0.036,9.5,282.640014648438,1214.5,79.0,30.0
718,Niger,Agadez,16.9741689,7.986535,0.405,69.9,0.833333313465118,168.5,1.0,40.0
719,Niger,Diffa,13.3132472,12.6158803,0.556,90.3,26.8333339691162,446.0,428.0,37.0
720,Niger,Dosso,13.0504833,3.2080991,0.62,92.8,50.6666679382324,717.0,1.0,38.0
721,Niger,Maradi,13.5009779,7.1036396,0.664,94.1,119.183334350586,641.0,2.0,36.0
722,Niger,Niamey,13.5115963,2.1253854,0.206,42.1,112.0,654.5,2.0,38.0
723,Niger,Tahoua,14.8904575,5.2579968,0.646,92.9,18.8333339691162,518.0,3.0,39.0
724,Niger,Tillaberi,14.6489525,2.1450245,0.609,92.0,11.3333330154419,468.0,289.0,38.0
725,Niger,Zinder,13.8018124,8.98527,0.641,93.6,40.9883346557617,571.5,0.0,37.0
726,Nigeria,Abia,5.4308921,7.5247243,0.088,21.0,327.333343505859,2145.0,156.0,26.0
727,Nigeria,Adamawa,9.3250497,12.4380581,0.295,59.0,143.346664428711,1126.0,28.0,36.0
728,Nigeria,Akwa Ibom,4.9299869,7.87216,0.099,23.8,837.199951171875,2657.0,84.0,25.0
729,Nigeria,Anambra,6.2757656,7.0068393,0.05,11.2,262.251647949219,1751.5,123.0,29.0
730,Nigeria,Bauchi,10.3009641,9.8236533,0.583,86.6,136.5,1040.0,5.0,36.0
731,Nigeria,Bayelsa,4.8677767,5.8987139,0.12,29.0,122.333335876465,2870.5,825.0,24.0
732,Nigeria,Benue,7.3508259,8.8362755,0.28,59.2,178.16667175293,1429.0,100.0,31.0
733,Nigeria,Borno,12.1205201,13.1740348,0.401,70.1,27.6666660308838,734.0,307.0,38.0
734,Nigeria,Cross River,6.1670315,8.6600586,0.146,33.1,90.5,2339.0,92.0,24.0
735,Nigeria,Delta,5.5324624,5.8987139,0.107,25.1,344.149993896484,2406.5,91.0,27.0
